id,user_id,session_time_ms,seat_hesitation_time_ms,ktp_avg_keystroke_interval_ms,ktp_keystroke_variance,ktp_total_entry_time_ms,ktp_paste_detected,field_edit_count,mouse_total_distance,mouse_smoothness,total_clicks,created_at,is_suspicious
b8efa610-fd31-4d96-bfde-3c6b923ce5fb,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5507,0,1.80,0.29,27,0,27,1792.83,0.78,5,2025-10-04 01:12:10.970791+00,true
098ec8de-b051-4161-9b88-3bcb57e9f690,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5311,6,1.80,0.29,27,0,27,804.37,2.74,5,2025-10-04 01:09:57.543076+00,true
e5f4987e-4670-4110-94c3-458ecf74f297,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5301,14,1.80,0.29,27,0,27,804.37,2.74,5,2025-10-04 01:11:09.881626+00,true
11edc2d1-8cc0-46e1-8126-fc0d745b5ea8,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5281,25,1.80,0.29,27,0,27,804.37,2.74,5,2025-10-04 01:13:58.76695+00,true
e76d2c7b-cd5c-42fb-a48b-9f511fe60323,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5311,9,1.87,0.25,28,0,27,804.37,2.74,5,2025-10-04 01:14:07.306639+00,true
c14d1479-56ad-4f2b-b78a-75f434185fa2,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5777,18,1.87,0.38,28,0,27,804.37,2.74,5,2025-10-04 01:13:33.199673+00,true
66953a71-5e38-4c2a-be7d-8b1ff8d966c8,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5312,21,1.87,0.25,28,0,27,804.37,2.74,5,2025-10-04 01:12:19.776065+00,true
5ab06e39-9f80-4818-b6d3-02591e328aec,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5286,6,1.93,0.46,29,0,27,804.37,2.74,5,2025-10-04 01:09:48.736853+00,true
10f05dbf-2455-44ad-bfc8-1eed6cff6e01,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5793,18,1.93,0.60,29,0,27,804.37,2.74,5,2025-10-04 01:10:06.641141+00,true
09e766e5-9c96-49c0-8c29-0f93d8f37e76,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5291,16,1.93,0.60,29,0,27,804.37,2.74,5,2025-10-04 01:11:53.10625+00,true
1f67f137-7fc1-4bda-ace7-b7484578698c,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,6292,19,1.93,0.60,29,0,27,804.37,2.74,5,2025-10-04 01:13:42.414875+00,true
4ca99a35-d06c-40c2-abe3-ef27322cc431,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5325,20,1.93,0.60,29,0,27,804.37,2.74,5,2025-10-04 01:11:35.744293+00,true
be8b1abe-f709-4580-8f36-362c56f6e92f,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5304,25,2.00,0.40,30,0,27,804.37,2.74,5,2025-10-04 01:12:01.713905+00,true
3a22d972-241b-4454-9eb1-43ec5105bda8,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5459,18,2.00,0.27,30,0,27,1698.33,0.85,5,2025-10-04 01:11:00.363649+00,true
f31e3947-2c75-433b-8c07-d59460d2d52f,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5310,17,2.00,0.40,30,0,27,804.37,2.74,5,2025-10-04 01:11:44.40476+00,true
d40bbbb8-bb4b-4bdc-809b-cdf346b31203,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5446,18,2.00,0.40,30,0,27,804.37,2.74,5,2025-10-04 01:11:18.328367+00,true
b857d40e-d937-462e-8848-59af3b7f36ae,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5291,6,2.07,0.46,31,0,27,804.37,2.74,5,2025-10-04 01:10:15.3074+00,true
f28807ee-7836-437c-be7b-b81605b90859,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,4788,21,2.13,0.65,32,0,27,804.37,2.74,5,2025-10-04 01:12:36.675433+00,true
ee74d5f9-8add-44be-a3b1-36fe70f17632,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,4788,21,2.13,0.65,32,0,27,804.37,2.74,5,2025-10-04 01:12:36.162628+00,true
4d147dec-e6e9-4d7f-a425-58402b26f6ea,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5847,21,2.13,0.52,32,0,27,804.37,2.74,5,2025-10-04 01:10:33.285071+00,true
367583d2-b224-4ccb-b7c2-1f47552204f1,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,5823,20,2.20,0.96,33,0,27,804.37,2.74,5,2025-10-04 01:10:51.353192+00,true
db4e13cc-2baf-4aa9-ac26-a4e3da3bd2ed,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,7353,19,2.27,0.60,34,0,27,804.37,2.74,5,2025-10-04 01:13:14.516473+00,true
a8c25dda-8ed9-466e-9666-6a49170fae0a,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,8051,19,2.33,0.62,35,0,27,804.37,2.74,5,2025-10-04 01:13:04.837805+00,true
