id,user_id,session_time_ms,seat_hesitation_time_ms,ktp_avg_keystroke_interval_ms,ktp_keystroke_variance,ktp_total_entry_time_ms,ktp_paste_detected,field_edit_count,mouse_total_distance,mouse_smoothness,total_clicks,created_at,is_suspicious
009d58ba-ca07-4dba-bc50-541966bf9fc2,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,17192,564,241.94,60983.27,4355,0,31,877.12,0.31,7,2025-10-03 23:31:05.801181+00,false
027cc87f-3076-4071-99fd-c3f765d86ba8,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,19962,1002,259.69,59008.59,4155,0,30,1530.85,0.22,8,2025-10-03 23:29:57.52699+00,false
089be618-7a99-448b-8697-ec870f50b46a,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,19284,1256,150.17,5363.81,2703,0,32,753.29,0.34,9,2025-10-03 23:29:09.300187+00,false
09f9fae4-8aaf-4917-9b1c-a47984ed57b9,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,18651,1572,334.72,125289.42,6025,0,31,1467.81,0.32,7,2025-10-03 23:30:37.750685+00,false
0f8206e0-6ede-48fc-9782-654cf997b6a3,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,18620,910,355.72,56178.20,6403,0,31,1017.63,0.34,6,2025-10-03 23:27:54.50745+00,false
1a8bb2b5-0f5c-4154-8098-66a43914df75,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,19448,241,203.30,63002.04,4676,1,33,1235.67,0.41,6,2025-10-04 00:29:53.516624+00,false
23d369b2-e0aa-4d35-9cfa-1248bab88b41,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,78321,4922,448.50,1187760.19,15249,0,68,866.65,0.39,14,2025-10-03 23:45:23.259107+00,false
291dfcd3-209e-4f68-955c-bc5764245bea,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,50532,962,498.31,172490.46,7973,0,29,407.46,0.28,8,2025-10-04 00:13:31.115028+00,false
315b97dc-56cf-41b9-b61b-ae24b616ba48,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,72596,3692,319.53,50177.98,4793,0,29,1681.93,0.32,10,2025-10-04 00:17:54.394842+00,false
3913645e-d5a2-4b81-800b-f0584ab41521,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,20397,873,350.19,65265.15,5603,0,38,1363.42,0.33,6,2025-10-03 23:31:42.973653+00,false
433d0db9-a924-44ad-9687-cf407e42875c,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,15148,499,125.63,31208.98,1005,1,14,1093.37,0.27,6,2025-10-04 00:29:04.911562+00,false
4d36dfd1-e7ea-4ffd-a0a5-dbef80a3307d,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,67754,3734,321.73,88635.53,4826,0,29,1170.31,0.30,7,2025-10-04 00:12:30.376175+00,false
5be8fb27-354c-46a8-ab99-59ee57bd1e84,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,65577,5569,341.73,24794.06,5126,0,40,1368.07,0.32,10,2025-10-04 00:23:02.764048+00,false
671a89b5-59ad-48d6-96d3-97fa5c639748,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,78340,1715,474.13,458953.98,7112,0,27,1150.51,0.29,14,2025-10-04 00:15:20.47345+00,false
7db81d2e-a07b-4e0b-8dc5-cf9fb76a0866,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,40673,1403,276.64,48197.69,6086,1,34,333.85,0.27,9,2025-10-04 00:41:48.68099+00,false
ada71a84-fc81-43a6-80f5-70b1c70a0340,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,39604,1299,656.93,715850.46,9854,0,28,762.80,0.32,7,2025-10-04 00:16:14.94861+00,false
b050372c-32f0-4f4a-9880-39fff8050af4,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,23946,980,163.43,13106.07,3759,0,37,886.78,0.34,16,2025-10-03 23:28:35.626597+00,false
b1854c18-7d49-43fb-ba16-193b03a2d0ca,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,71782,532,371.88,57231.36,5950,0,37,2799.67,0.32,8,2025-10-04 00:19:14.880839+00,false
c171a882-6ac0-417c-bc74-df1fad2b5c69,77bbba0a-53fb-4fa4-ac92-d3bc7a6653bc,41106,3026,306.60,64015.57,4599,0,29,1564.86,0.25,10,2025-10-03 23:33:31.617518+00,false
